"Año";"Periodo";"Deuda pública"
"2007";"Enero";"386.616,27"
"2007";"Febrero";"387.285,28"
"2007";"Marzo";"398.733,54"
"2007";"Abril";"386.028,66"
"2007";"Mayo";"387.150,34"
"2007";"Junio";"400.011,76"
"2007";"Julio";"380.482,99"
"2007";"Agosto";"375.911,06"
"2007";"Septiembre";"391.299,89"
"2007";"Octubre";"371.055,54"
"2007";"Noviembre";"374.174,69"
"2007";"Diciembre";"384.661,96"
"2008";"Enero";"365.203,61"
"2008";"Febrero";"369.885,8"
"2008";"Marzo";"380.269,89"
"2008";"Abril";"368.381,24"
"2008";"Mayo";"373.711,81"
"2008";"Junio";"390.638,16"
"2008";"Julio";"377.534,35"
"2008";"Agosto";"378.068,37"
"2008";"Septiembre";"403.721,89"
"2008";"Octubre";"387.382,23"
"2008";"Noviembre";"406.604,07"
"2008";"Diciembre";"440.620,97"
"2009";"Enero";"440.498,29"
"2009";"Febrero";"457.305,24"
"2009";"Marzo";"473.710,18"
"2009";"Abril";"486.588,49"
"2009";"Mayo";"492.602,11"
"2009";"Junio";"511.173,39"
"2009";"Julio";"510.802,67"
"2009";"Agosto";"513.920,96"
"2009";"Septiembre";"533.678,18"
"2009";"Octubre";"544.493,3"
"2009";"Noviembre";"560.265,17"
"2009";"Diciembre";"569.535,36"
"2010";"Enero";"561.748,89"
"2010";"Febrero";"569.094,79"
"2010";"Marzo";"586.850,73"
"2010";"Abril";"586.075,4"
"2010";"Mayo";"594.925,71"
"2010";"Junio";"609.031,98"
"2010";"Julio";"608.166,41"
"2010";"Agosto";"608.043,16"
"2010";"Septiembre";"620.541,07"
"2010";"Octubre";"634.469,48"
"2010";"Noviembre";"640.613,39"
"2010";"Diciembre";"649.152,53"
"2011";"Enero";"662.069,03"
"2011";"Febrero";"678.323,64"
"2011";"Marzo";"691.086,37"
"2011";"Abril";"684.671,41"
"2011";"Mayo";"692.398,27"
"2011";"Junio";"710.839,62"
"2011";"Julio";"704.199,49"
"2011";"Agosto";"703.925,92"
"2011";"Septiembre";"713.894,71"
"2011";"Octubre";"711.903,5"
"2011";"Noviembre";"723.502,44"
"2011";"Diciembre";"743.043,16"
"2012";"Enero";"757.750,1"
"2012";"Febrero";"770.305,1"
"2012";"Marzo";"781.571,15"
"2012";"Abril";"775.287,37"
"2012";"Mayo";"792.135,16"
"2012";"Junio";"810.956,18"
"2012";"Julio";"810.292,26"
"2012";"Agosto";"807.114,11"
"2012";"Septiembre";"823.547,01"
"2012";"Octubre";"823.458,75"
"2012";"Noviembre";"837.071,74"
"2012";"Diciembre";"889.909,39"
"2013";"Enero";"906.535,82"
"2013";"Febrero";"936.558,97"
"2013";"Marzo";"950.094,44"
"2013";"Abril";"941.753,85"
"2013";"Mayo";"961.695,16"
"2013";"Junio";"964.433,37"
"2013";"Julio";"968.218,55"
"2013";"Agosto";"965.624,68"
"2013";"Septiembre";"974.960,79"
"2013";"Octubre";"971.533,43"
"2013";"Noviembre";"968.801,86"
"2013";"Diciembre";"977.311,94"
"2014";"Enero";"984.244,34"
"2014";"Febrero";"993.178,6"
"2014";"Marzo";"1.005.782,29"
"2014";"Abril";"998.207,35"
"2014";"Mayo";"1.011.815,11"
"2014";"Junio";"1.019.229,96"
"2014";"Julio";"1.012.611,26"
"2014";"Agosto";"1.016.640,96"
"2014";"Septiembre";"1.026.729,04"
"2014";"Octubre";"1.021.787,04"
"2014";"Noviembre";"1.027.579,07"
"2014";"Diciembre";"1.039.388,25"
"2015";"Enero";"1.039.930,05"
"2015";"Febrero";"1.044.720,44"
"2015";"Marzo";"1.050.632,43"
"2015";"Abril";"1.036.739,44"
"2015";"Mayo";"1.044.562,17"
"2015";"Junio";"1.055.900,81"
"2015";"Julio";"1.043.141,35"
"2015";"Agosto";"1.052.409,25"
"2015";"Septiembre";"1.065.883,55"
"2015";"Octubre";"1.060.203,03"
"2015";"Noviembre";"1.070.496,39"
"2015";"Diciembre";"1.070.078,97"
"2016";"Enero";"1.072.382,61"
"2016";"Febrero";"1.078.661,33"
"2016";"Marzo";"1.092.570,82"
"2016";"Abril";"1.078.823,38"
"2016";"Mayo";"1.084.677"
"2016";"Junio";"1.102.743,85"
"2016";"Julio";"1.098.690,98"
"2016";"Agosto";"1.099.473,69"
"2016";"Septiembre";"1.104.372,59"
"2016";"Octubre";"1.101.809,91"
"2016";"Noviembre";"1.096.414,95"
"2016";"Diciembre";"1.104.553,96"
"2017";"Enero";"1.112.249,25"
"2017";"Febrero";"1.115.796,9"
"2017";"Marzo";"1.126.082,5"
"2017";"Abril";"1.114.486,83"
"2017";"Mayo";"1.124.835,9"
"2017";"Junio";"1.135.146,24"
"2017";"Julio";"1.130.651,3"
"2017";"Agosto";"1.129.768,86"
"2017";"Septiembre";"1.136.975,49"
"2017";"Octubre";"1.130.353,75"
"2017";"Noviembre";"1.139.304,53"
"2017";"Diciembre";"1.145.097,34"
"2018";"Enero";"1.146.043,07"
"2018";"Febrero";"1.158.473,15"
"2018";"Marzo";"1.162.129,39"
"2018";"Abril";"1.152.517,95"
"2018";"Mayo";"1.157.336,66"
"2018";"Junio";"1.165.971,94"
"2018";"Julio";"1.162.780,42"
"2018";"Agosto";"1.165.122,05"
"2018";"Septiembre";"1.177.748,75"
"2018";"Octubre";"1.163.097,99"
"2018";"Noviembre";"1.172.052,5"
"2018";"Diciembre";"1.173.350,13"
"2019";"Enero";"1.174.325,01"
"2019";"Febrero";"1.184.665,18"
"2019";"Marzo";"1.196.667,97"
"2019";"Abril";"1.180.001,57"
"2019";"Mayo";"1.192.203,31"
"2019";"Junio";"1.207.433,39"
"2019";"Julio";"1.193.769,22"
"2019";"Agosto";"1.196.150,1"
"2019";"Septiembre";"1.203.820,51"
"2019";"Octubre";"1.190.976,52"
"2019";"Noviembre";"1.187.984,48"
"2019";"Diciembre";"1.188.859,49"
"2020";"Enero";"1.195.877,84"
"2020";"Febrero";"1.201.767,73"
"2020";"Marzo";"1.224.568,99"
"2020";"Abril";"1.235.502,24"
"2020";"Mayo";"1.258.626,23"
"2020";"Junio";"1.291.061,6"
"2020";"Julio";"1.290.872,52"
"2020";"Agosto";"1.298.409,19"
"2020";"Septiembre";"1.308.085,2"
"2020";"Octubre";"1.306.028,2"
"2020";"Noviembre";"1.312.590,26"
"2020";"Diciembre";"1.345.569,81"
"2021";"Enero";"1.348.369,14"
"2021";"Febrero";"1.366.969,56"
"2021";"Marzo";"1.392.696,24"
"2021";"Abril";"1.389.665,57"
"2021";"Mayo";"1.402.504,86"
"2021";"Junio";"1.424.714,96"
"2021";"Julio";"1.416.172,79"
"2021";"Agosto";"1.419.415,41"
"2021";"Septiembre";"1.432.338,99"
"2021";"Octubre";"1.421.804,83"
"2021";"Noviembre";"1.426.308,42"
"2021";"Diciembre";"1.427.235,37"
"2022";"Enero";"1.425.092,22"
"2022";"Febrero";"1.441.569,1"
"2022";"Marzo";"1.453.855,43"
"2022";"Abril";"1.445.427,91"
"2022";"Mayo";"1.456.492,53"
"2022";"Junio";"1.475.367,87"
"2022";"Julio";"1.487.002,75"
"2022";"Agosto";"1.491.447,42"
"2022";"Septiembre";"1.504.056,49"
"2022";"Octubre";"1.497.153,75"
"2022";"Noviembre";"1.505.537,87"
"2022";"Diciembre";"1.502.505"
;;
;;
"Métrica":"Deuda pública"
"Fuente":"Banco de España"
"Clasificación":""
"Unidad":"Euros"
"Escala":"Millones"
"EscalaFactorPotencia10":"6"
"SonDatosNumericos":"True"
;;
;;
"Url":"https://www.epdata.es/asi-aumentado-deuda-publica/f4dcc707-9e28-4d16-aadb-0010a33a4db5/espana/106"
"Titulo":"Evolución de la deuda pública de España"
"Subtitulo":"La deuda pública se sitúa en 1.502.505 millones de euros en diciembre de 2022﻿ "
