"Año";"Periodo";"Deuda pública";"Producto Interior Bruto (PIB)"
"1994";"Diciembre";"249.507,62";""
"1995";"Diciembre";"283.457,29";""
"1996";"Diciembre";"319.975,81";""
"1997";"Diciembre";"333.627,25";""
"1998";"Diciembre";"346.416,96";""
"1999";"Diciembre";"362.223,47";""
"2000";"Diciembre";"374.557,24";""
"2001";"Diciembre";"378.883,42";""
"2002";"Diciembre";"384.145,34";""
"2003";"Diciembre";"382.775,03";""
"2004";"Diciembre";"389.887,93";""
"2005";"Diciembre";"393.479,09";""
"2006";"Diciembre";"392.132,17";""
"2007";"Diciembre";"384.661,96";""
"2008";"Diciembre";"440.620,97";""
"2009";"Diciembre";"569.535,36";""
"2010";"Diciembre";"649.152,53";""
"2011";"Diciembre";"743.043,16";""
"2012";"Diciembre";"889.909,39";""
"2013";"Diciembre";"977.311,94";""
"2014";"Diciembre";"1.039.388,25";""
"2015";"Diciembre";"1.070.078,97";""
"2016";"Diciembre";"1.104.553,96";""
"2017";"Diciembre";"1.145.097,34";""
"2018";"Diciembre";"1.173.350,13";""
"2019";"Diciembre";"1.188.859,49";""
"2020";"Diciembre";"1.345.569,81";""
"2021";"Diciembre";"1.427.235,37";""
"2022";"Diciembre";"1.502.505";""
"1995";"Trimestre 4";"";"460.588"
"1996";"Trimestre 4";"";"489.203"
"1997";"Trimestre 4";"";"519.268"
"1998";"Trimestre 4";"";"555.993"
"1999";"Trimestre 4";"";"595.723"
"2000";"Trimestre 4";"";"647.851"
"2001";"Trimestre 4";"";"700.993"
"2002";"Trimestre 4";"";"749.552"
"2003";"Trimestre 4";"";"802.266"
"2004";"Trimestre 4";"";"859.437"
"2005";"Trimestre 4";"";"927.357"
"2006";"Trimestre 4";"";"1.003.823"
"2007";"Trimestre 4";"";"1.075.539"
"2008";"Trimestre 4";"";"1.109.541"
"2009";"Trimestre 4";"";"1.069.323"
"2010";"Trimestre 4";"";"1.072.709"
"2011";"Trimestre 4";"";"1.063.763"
"2012";"Trimestre 4";"";"1.031.104"
"2013";"Trimestre 4";"";"1.020.677"
"2014";"Trimestre 4";"";"1.032.608"
"2015";"Trimestre 4";"";"1.078.092"
"2016";"Trimestre 4";"";"1.114.420"
"2017";"Trimestre 4";"";"1.162.492"
"2018";"Trimestre 4";"";"1.203.859"
"2019";"Trimestre 4";"";"1.245.513"
"2020";"Trimestre 4";"";"1.117.989"
"2021";"Trimestre 4";"";"1.206.842"
;;;
;;;
"Métrica":"Deuda pública"
"Fuente":"Banco de España"
"Clasificación":""
"Unidad":"Euros"
"Escala":"Millones"
"EscalaFactorPotencia10":"6"
"SonDatosNumericos":"True"
;;;
;;;
"Métrica":"Producto Interior Bruto (PIB)"
"Fuente":"INE"
"Clasificación":""
"Unidad":"Euros (dato corregido de efectos estacionales)"
"Escala":"Millones"
"EscalaFactorPotencia10":"6"
"SonDatosNumericos":"True"
;;;
;;;
"Url":"https://www.epdata.es/evolucion-deuda-publica-relacion-pib/014eb993-0b14-4695-a46c-4c79da49f6c3"
"Titulo":"Evolución de la deuda pública en relación al PIB"
"Subtitulo":""
