"Año";"Periodo";"Último España"
"2007";"Día 2 de enero";"3,99"
"2007";"Día 3 de enero";"3,99"
"2007";"Día 4 de enero";"3,97"
"2007";"Día 5 de enero";"4"
"2007";"Día 8 de enero";"4,02"
"2007";"Día 9 de enero";"4,05"
"2007";"Día 10 de enero";"4,06"
"2007";"Día 11 de enero";"4,07"
"2007";"Día 12 de enero";"4,11"
"2007";"Día 15 de enero";"4,1"
"2007";"Día 16 de enero";"4,09"
"2007";"Día 17 de enero";"4,07"
"2007";"Día 18 de enero";"4,09"
"2007";"Día 19 de enero";"4,1"
"2007";"Día 22 de enero";"4,07"
"2007";"Día 23 de enero";"4,09"
"2007";"Día 24 de enero";"4,1"
"2007";"Día 25 de enero";"4,13"
"2007";"Día 26 de enero";"4,13"
"2007";"Día 29 de enero";"4,15"
"2007";"Día 30 de enero";"4,15"
"2007";"Día 31 de enero";"4,15"
"2007";"Día 1 de febrero";"4,14"
"2007";"Día 2 de febrero";"4,13"
"2007";"Día 5 de febrero";"4,09"
"2007";"Día 6 de febrero";"4,08"
"2007";"Día 7 de febrero";"4,07"
"2007";"Día 8 de febrero";"4,09"
"2007";"Día 9 de febrero";"4,1"
"2007";"Día 12 de febrero";"4,16"
"2007";"Día 13 de febrero";"4,17"
"2007";"Día 14 de febrero";"4,16"
"2007";"Día 15 de febrero";"4,09"
"2007";"Día 16 de febrero";"4,09"
"2007";"Día 19 de febrero";"4,12"
"2007";"Día 20 de febrero";"4,1"
"2007";"Día 21 de febrero";"4,09"
"2007";"Día 22 de febrero";"4,14"
"2007";"Día 23 de febrero";"4,09"
"2007";"Día 26 de febrero";"4,04"
"2007";"Día 27 de febrero";"3,97"
"2007";"Día 28 de febrero";"4,01"
"2007";"Día 1 de marzo";"4"
"2007";"Día 2 de marzo";"3,98"
"2007";"Día 5 de marzo";"3,96"
"2007";"Día 6 de marzo";"3,97"
"2007";"Día 7 de marzo";"3,97"
"2007";"Día 8 de marzo";"3,98"
"2007";"Día 9 de marzo";"3,99"
"2007";"Día 12 de marzo";"3,98"
"2007";"Día 13 de marzo";"3,94"
"2007";"Día 14 de marzo";"3,96"
"2007";"Día 15 de marzo";"3,96"
"2007";"Día 16 de marzo";"3,95"
"2007";"Día 19 de marzo";"3,98"
"2007";"Día 20 de marzo";"3,97"
"2007";"Día 21 de marzo";"3,96"
"2007";"Día 22 de marzo";"4,02"
"2007";"Día 23 de marzo";"4,03"
"2007";"Día 26 de marzo";"4,08"
"2007";"Día 27 de marzo";"4,09"
"2007";"Día 28 de marzo";"4,1"
"2007";"Día 29 de marzo";"4,12"
"2007";"Día 30 de marzo";"4,1"
"2007";"Día 2 de abril";"4,13"
"2007";"Día 3 de abril";"4,15"
"2007";"Día 4 de abril";"4,13"
"2007";"Día 5 de abril";"4,16"
"2007";"Día 10 de abril";"4,19"
"2007";"Día 11 de abril";"4,19"
"2007";"Día 12 de abril";"4,21"
"2007";"Día 13 de abril";"4,29"
"2007";"Día 16 de abril";"4,25"
"2007";"Día 17 de abril";"4,23"
"2007";"Día 18 de abril";"4,21"
"2007";"Día 19 de abril";"4,26"
"2007";"Día 20 de abril";"4,25"
"2007";"Día 23 de abril";"4,24"
"2007";"Día 24 de abril";"4,21"
"2007";"Día 25 de abril";"4,24"
"2007";"Día 26 de abril";"4,26"
"2007";"Día 27 de abril";"4,27"
"2007";"Día 30 de abril";"4,19"
"2007";"Día 2 de mayo";"4,27"
"2007";"Día 3 de mayo";"4,28"
"2007";"Día 4 de mayo";"4,25"
"2007";"Día 7 de mayo";"4,26"
"2007";"Día 8 de mayo";"4,26"
"2007";"Día 9 de mayo";"4,28"
"2007";"Día 10 de mayo";"4,25"
"2007";"Día 11 de mayo";"4,22"
"2007";"Día 14 de mayo";"4,32"
"2007";"Día 15 de mayo";"4,35"
"2007";"Día 16 de mayo";"4,36"
"2007";"Día 17 de mayo";"4,37"
"2007";"Día 18 de mayo";"4,36"
"2007";"Día 21 de mayo";"4,36"
"2007";"Día 22 de mayo";"4,4"
"2007";"Día 23 de mayo";"4,42"
"2007";"Día 24 de mayo";"4,39"
"2007";"Día 25 de mayo";"4,43"
"2007";"Día 28 de mayo";"4,43"
"2007";"Día 29 de mayo";"4,44"
"2007";"Día 30 de mayo";"4,44"
"2007";"Día 31 de mayo";"4,46"
"2007";"Día 1 de junio";"4,46"
"2007";"Día 4 de junio";"4,5"
"2007";"Día 5 de junio";"4,53"
"2007";"Día 6 de junio";"4,49"
"2007";"Día 7 de junio";"4,6"
"2007";"Día 8 de junio";"4,6"
"2007";"Día 11 de junio";"4,58"
"2007";"Día 12 de junio";"4,67"
"2007";"Día 13 de junio";"4,7"
"2007";"Día 14 de junio";"4,7"
"2007";"Día 15 de junio";"4,71"
"2007";"Día 18 de junio";"4,69"
"2007";"Día 19 de junio";"4,63"
"2007";"Día 20 de junio";"4,69"
"2007";"Día 21 de junio";"4,7"
"2007";"Día 22 de junio";"4,7"
"2007";"Día 25 de junio";"4,65"
"2007";"Día 26 de junio";"4,64"
"2007";"Día 27 de junio";"4,62"
"2007";"Día 28 de junio";"4,63"
"2007";"Día 29 de junio";"4,62"
"2007";"Día 2 de julio";"4,55"
"2007";"Día 3 de julio";"4,62"
"2007";"Día 4 de julio";"4,68"
"2007";"Día 5 de julio";"4,72"
"2007";"Día 6 de julio";"4,75"
"2007";"Día 9 de julio";"4,73"
"2007";"Día 10 de julio";"4,63"
"2007";"Día 11 de julio";"4,67"
"2007";"Día 12 de julio";"4,69"
"2007";"Día 13 de julio";"4,69"
"2007";"Día 16 de julio";"4,63"
"2007";"Día 17 de julio";"4,66"
"2007";"Día 18 de julio";"4,63"
"2007";"Día 19 de julio";"4,63"
"2007";"Día 20 de julio";"4,52"
"2007";"Día 23 de julio";"4,52"
"2007";"Día 24 de julio";"4,49"
"2007";"Día 25 de julio";"4,5"
"2007";"Día 26 de julio";"4,4"
"2007";"Día 27 de julio";"4,42"
"2007";"Día 30 de julio";"4,43"
"2007";"Día 31 de julio";"4,4"
"2007";"Día 1 de agosto";"4,46"
"2007";"Día 2 de agosto";"4,46"
"2007";"Día 3 de agosto";"4,44"
"2007";"Día 6 de agosto";"4,46"
"2007";"Día 7 de agosto";"4,46"
"2007";"Día 8 de agosto";"4,52"
"2007";"Día 9 de agosto";"4,48"
"2007";"Día 10 de agosto";"4,47"
"2007";"Día 13 de agosto";"4,44"
"2007";"Día 14 de agosto";"4,44"
"2007";"Día 15 de agosto";"4,39"
"2007";"Día 16 de agosto";"4,35"
"2007";"Día 17 de agosto";"4,38"
"2007";"Día 20 de agosto";"4,36"
"2007";"Día 21 de agosto";"4,31"
"2007";"Día 22 de agosto";"4,38"
"2007";"Día 23 de agosto";"4,35"
"2007";"Día 24 de agosto";"4,33"
"2007";"Día 27 de agosto";"4,33"
"2007";"Día 28 de agosto";"4,3"
"2007";"Día 29 de agosto";"4,35"
"2007";"Día 30 de agosto";"4,32"
"2007";"Día 31 de agosto";"4,36"
"2007";"Día 3 de septiembre";"4,36"
"2007";"Día 4 de septiembre";"4,38"
"2007";"Día 5 de septiembre";"4,35"
"2007";"Día 6 de septiembre";"4,33"
"2007";"Día 7 de septiembre";"4,25"
"2007";"Día 10 de septiembre";"4,22"
"2007";"Día 11 de septiembre";"4,25"
"2007";"Día 12 de septiembre";"4,25"
"2007";"Día 13 de septiembre";"4,3"
"2007";"Día 14 de septiembre";"4,27"
"2007";"Día 17 de septiembre";"4,26"
"2007";"Día 18 de septiembre";"4,31"
"2007";"Día 19 de septiembre";"4,38"
"2007";"Día 20 de septiembre";"4,39"
"2007";"Día 21 de septiembre";"4,45"
"2007";"Día 24 de septiembre";"4,45"
"2007";"Día 25 de septiembre";"4,44"
"2007";"Día 26 de septiembre";"4,47"
"2007";"Día 27 de septiembre";"4,46"
"2007";"Día 28 de septiembre";"4,43"
"2007";"Día 1 de octubre";"4,41"
"2007";"Día 2 de octubre";"4,39"
"2007";"Día 3 de octubre";"4,41"
"2007";"Día 4 de octubre";"4,35"
"2007";"Día 5 de octubre";"4,42"
"2007";"Día 8 de octubre";"4,41"
"2007";"Día 9 de octubre";"4,41"
"2007";"Día 10 de octubre";"4,41"
"2007";"Día 11 de octubre";"4,46"
"2007";"Día 12 de octubre";"4,5"
"2007";"Día 15 de octubre";"4,49"
"2007";"Día 16 de octubre";"4,5"
"2007";"Día 17 de octubre";"4,46"
