"Año";"Periodo";"Índice general del IPC"
"2020";"Febrero";"0,73"
"2020";"Marzo";"-0,02"
"2020";"Abril";"-0,72"
"2020";"Mayo";"-0,92"
"2020";"Junio";"-0,34"
"2020";"Julio";"-0,62"
"2020";"Agosto";"-0,52"
"2020";"Septiembre";"-0,37"
"2020";"Octubre";"-0,81"
"2020";"Noviembre";"-0,81"
"2020";"Diciembre";"-0,53"
"2021";"Enero";"0,46"
"2021";"Febrero";"-0,02"
"2021";"Marzo";"1,34"
"2021";"Abril";"2,23"
"2021";"Mayo";"2,72"
"2021";"Junio";"2,73"
"2021";"Julio";"2,88"
"2021";"Agosto";"3,3"
"2021";"Septiembre";"4,01"
"2021";"Octubre";"5,37"
"2021";"Noviembre";"5,52"
"2021";"Diciembre";"6,55"
"2022";"Enero";"6,13"
"2022";"Febrero";"7,62"
"2022";"Marzo";"9,82"
"2022";"Abril";"8,34"
"2022";"Mayo";"8,73"
"2022";"Junio";"10,22"
"2022";"Julio";"10,78"
"2022";"Agosto";"10,55"
"2022";"Septiembre";"8,87"
"2022";"Octubre";"7,3"
"2022";"Noviembre";"6,78"
"2022";"Diciembre";"5,71"
"2023";"Enero";"5,92"
;;
;;
"Métrica":"Índice general del IPC"
"Fuente":"INE"
"Clasificación":"Base 2021"
"Unidad":"Índice de Precios de Consumo"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;
;;
"Url":"https://www.epdata.es/variacion-interanual-ipc/2d5584ea-efa0-4018-b2cd-17eb47b518e7/espana/106"
"Titulo":"Variación interanual del IPC"
"Subtitulo":"Variación interanual del índice general  Índice de Precios al Consumo (IPC)"
