"Año";"Periodo";"IPC general"
"2003";"Enero";"3,71"
"2004";"Enero";"2,3"
"2005";"Enero";"3,08"
"2006";"Enero";"4,19"
"2007";"Enero";"2,39"
"2008";"Enero";"4,28"
"2009";"Enero";"0,81"
"2010";"Enero";"1,03"
"2011";"Enero";"3,27"
"2012";"Enero";"2"
"2013";"Enero";"2,68"
"2014";"Enero";"0,2"
"2015";"Enero";"-1,32"
"2016";"Enero";"-0,29"
"2017";"Enero";"2,97"
"2018";"Enero";"0,57"
"2019";"Enero";"0,98"
"2020";"Enero";"1,1"
"2021";"Enero";"0,46"
"2022";"Enero";"6,13"
"2023";"Enero";"5,92"
;;
;;
"Métrica":"IPC general"
"Fuente":"INE"
"Clasificación":"Base 2021"
"Unidad":"Índice de Precios de Consumo"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;
;;
"Url":"https://www.epdata.es/variacion-interanual-ipc-2003/c561378f-ab32-4681-8771-a1094d5657bc"
"Titulo":"Variación interanual del IPC en España desde 2003"
"Subtitulo":""
